route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,shape_id,bikes_allowed
⑤_A,平日,平日_06時58分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
⑤_A,平日,平日_06時58分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_07時03分_系統5-1-9,湯の川,,,,5-1-9,0
②_A,平日,平日_07時03分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
②_A,平日,平日_07時04分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_07時09分_系統2-1-4,湯の川,,,,2-1-4,0
⑤_A,平日,平日_07時10分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
⑤_A,平日,平日_07時10分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
②_A,平日,平日_07時15分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_07時15分_系統5-1-9,湯の川,,,,5-1-9,0
②_A,平日,平日_07時16分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_07時22分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
⑤_A,平日,平日_07時22分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
②_A,平日,平日_07時27分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
②_A,平日,平日_07時28分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_07時34分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
⑤_A,平日,平日_07時34分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
②_A,平日,平日_07時39分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
②_A,平日,平日_07時40分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_07時46分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_07時46分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_07時51分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
②_A,平日,平日_07時52分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_07時58分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_07時58分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_08時03分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
②_A,平日,平日_08時04分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_08時10分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
⑤_A,平日,平日_08時10分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
②_A,平日,平日_08時15分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
②_A,平日,平日_08時16分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_08時22分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_08時22分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_08時27分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
②_A,平日,平日_08時30分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_08時34分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
⑤_A,平日,平日_08時38分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
②_A,平日,平日_08時39分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
②_A,平日,平日_08時42分_系統2-1-5,駒場車庫前,,,,2-1-5,0
②_A,平日,平日_08時46分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_08時46分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_08時51分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_08時54分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_08時58分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_09時02分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_09時05分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
②_A,平日,平日_09時06分_系統2-1-5,駒場車庫前,,,,2-1-5,0
⑤_A,平日,平日_09時10分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_09時14分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_09時18分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_09時21分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_09時26分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
②_A,平日,平日_09時30分_系統2-1-5,駒場車庫前,,,,2-1-5,0
⑤_A,平日,平日_09時30分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_09時34分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_09時37分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_09時42分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_09時46分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_09時50分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_09時53分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_09時58分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_10時02分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_10時06分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_10時09分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_10時14分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_10時18分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_10時22分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_10時25分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_10時30分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_10時34分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_10時38分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_10時41分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_10時46分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_10時50分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_10時54分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_10時57分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_11時02分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_11時06分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_11時10分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_11時13分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_11時18分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_11時22分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_11時26分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_11時29分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_11時34分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_11時38分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_11時42分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_11時45分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_11時50分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_11時54分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_11時58分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_12時01分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_12時06分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_12時10分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_12時14分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_12時17分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_12時22分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_12時26分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_12時30分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_12時33分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_12時38分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_12時42分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_12時46分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_12時49分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_12時54分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_12時58分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_13時02分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_13時05分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_13時10分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_13時14分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_13時18分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_13時21分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_13時26分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_13時30分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_13時34分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_13時37分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_13時42分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_13時46分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_13時50分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_13時53分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_13時58分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_14時02分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_14時06分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_14時09分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_14時14分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_14時18分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_14時22分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_14時25分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_14時30分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_14時34分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_14時38分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_14時41分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_14時46分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_14時50分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_14時54分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_14時57分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_15時02分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_15時06分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_15時10分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_15時13分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_15時18分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_15時22分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_15時26分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_15時29分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_15時34分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_15時38分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_15時42分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_15時45分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_15時50分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_15時54分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_15時58分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_16時01分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_16時06分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_16時10分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_16時14分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_16時17分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_16時22分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_16時26分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_16時29分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_16時29分_系統5-1-9,湯の川,,,,5-1-9,0
②_A,平日,平日_16時34分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_16時36分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_16時42分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_16時43分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_16時49分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_16時50分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_16時57分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_16時57分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_17時02分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_17時04分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_17時10分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_17時11分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_17時17分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_17時18分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
②_A,平日,平日_17時25分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_17時25分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_17時31分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_17時32分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
②_A,平日,平日_17時39分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_17時39分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_17時45分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_17時46分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_17時53分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_17時53分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
